"filename", "language", "Dart", "comment", "blank", "total"
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\presentation\cubit\favorites_operations\favorites_operations_cubit.dart", "Dart", 38, 0, 7, 45
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\presentation\cubit\favorites_operations\favorites_operations_state.dart", "Dart", 13, 0, 8, 21
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\presentation\pages\favorite_items_page.dart", "Dart", 37, 0, 5, 42
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\presentation\widgets\add_to_favorites_button.dart", "Dart", 49, 0, 11, 60
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\presentation\widgets\favorite_product_box.dart", "Dart", 68, 1, 8, 77
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\presentation\widgets\show_favorites_button.dart", "Dart", 0, 30, 2, 32
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\home\home_widgets.dart", "Dart", 73, 0, 10, 83
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\initialization\domain\initi_use_case.dart", "Dart", 8, 0, 4, 12
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\initialization\initializer.dart", "Dart", 27, 5, 5, 37
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\initialization\presentation\cubit\initializer_cubit.dart", "Dart", 16, 0, 3, 19
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\initialization\presentation\cubit\initializer_state.dart", "Dart", 9, 0, 6, 15
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\initialization\presentation\initial_screen.dart", "Dart", 60, 0, 5, 65
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\data\models\product_model.dart", "Dart", 52, 0, 4, 56
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\data\repositories\supabase\products_repository.dart", "Dart", 55, 2, 6, 63
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\domain\entities\product.dart", "Dart", 98, 0, 3, 101
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\domain\repositories\product_repository.dart", "Dart", 6, 0, 2, 8
